"[ref]"	"[name]"	"[name_short]"	"[old_name]"	"[branch]"	"iesec:level"	"_data_flag"
117157	"Paz viuda de Escamilla Elementary School"	""	"Bulwangan Elementary School"	""	"1"	"maPaaralan"
115931	"Pedada Elementary School"	""		""	"1"	"maPaaralan"
115679	"Pedro A. Bernas Elementary School"	""	"San Fernando Elementary School"	""	"1"	"maPaaralan"
116020	"Pedro Bedez Elementary School"	""		""	"1"	"maPaaralan"
115132	"Pedro C. Rufon, Sr. Memorial Primary School"	""		""	"0-1"	"maPaaralan"
117536	"Pedro E. Ramos, Sr. Elementary School"	""	"Banquerohan Elementary School"	""	"0-1"	"maPaaralan"
117537	"Pedro Pitogo Elementary School"	""		""	"0-1"	"maPaaralan"
117702	"Pedro R. Katalbas, Sr. II Elementary School"	""	"P.R. Katalbas Primary School"	""	"1"	"maPaaralan"
117706	"Pedro Ramos Katalbas, Sr. I Elementary School"	""	"Pedro Ramos Katalbas, Sr. Elementary School"	""	"1"	"maPaaralan"
116865	"Pedro Y. Ditching, Sr. Elementary School"	""	"Bagroy Elementary School"	""	"0-1"	"maPaaralan"
114708	"Pepe Primary School"	""		""	"0-1"	"maPaaralan"
116513	"Pepe-Lonoc Elementary School"	""		""	"1"	"maPaaralan"
115163	"Perfecta Primary School"	""		""	"0-1"	"maPaaralan"
117182	"Perfecto P. Cuenca Memorial School"	""	"Consuelo Elementary School"	""	"1"	"maPaaralan"
116932	"Pesons Elementary School"	""		""	"1"	"maPaaralan"
116462	"Petronio Leal Memorial Elementary School"	""	"Misi Elementary School"	""	"1"	"maPaaralan"
116223	"Piagao Primary School"	""		""	"1"	"maPaaralan"
116553	"Piandaan Primary School"	""		""	"1"	"maPaaralan"
178511	"Piape III Primary School"	""		""	"0-1"	"maPaaralan"
115078	"Piapi Elementary School"	""		""	"0-1"	"maPaaralan"
115675	"Pilar Elementary School"	""		""	"1"	"maPaaralan"
117118	"Pilar Elementary School"	""		""	"1"	"maPaaralan"
115095	"Pili Elementary School"	""		""	"0-1"	"maPaaralan"
115932	"Pili Elementary School"	""		""	"1"	"maPaaralan"
117866	"Piliopiliohan Primary School"	""		""	"1"	"maPaaralan"
115570	"Piña Elementary School"	""		""	"1"	"maPaaralan"
115841	"Piña Elementary School"	""		""	"1"	"maPaaralan"
117867	"Pinaguinpinan Elementary School"	""		""	"1"	"maPaaralan"
117782	"Pinamantawan Elementary School"	""		""	"1"	"maPaaralan"
117009	"Pinamay-an Elementary School"	""		""	"1"	"maPaaralan"
114909	"Pinamuk-an Integrated School"	""	"Pinamuk-an Elementary School"	""	"0-3"	"maPaaralan"
117063	"Pinapugasan Elementary School"	""		""	"0-1"	"maPaaralan"
114890	"Pinatuad Primary School"	""		""	"0-1"	"maPaaralan"
115595	"Pinay Elementary School"	""		""	"1"	"maPaaralan"
115933	"Pinay Espinosa Elementary School"	""		""	"1"	"maPaaralan"
117183	"Pinggot Elementary School"	""		""	"1"	"maPaaralan"
116933	"Pinocutan Elementary School"	""		""	"1"	"maPaaralan"
114796	"Pinonoy Primary School"	""		""	"0-1"	"maPaaralan"
117335	"Pinowayan Elementary School"	""		""	"1"	"maPaaralan"
115331	"Pis-anan Central School"	""		""	"0-1"	"maPaaralan"
116554	"Pispis Primary School"	""		""	"1"	"maPaaralan"
115347	"Pitac Elementary School"	""		""	"0-1"	"maPaaralan"
117849	"Pitgong Elementary School"	""		""	"1"	"maPaaralan"
116738	"Pitogo Elementary School"	""		""	"1"	"maPaaralan"
117672	"Plaridel East Elementary School"	""		""	"1"	"maPaaralan"
117703	"Plaridel Elementary School"	""		""	"1"	"maPaaralan"
117673	"Plaridel West Elementary School"	""		""	"1"	"maPaaralan"
117239	"Policena Elementary School"	""		""	"1"	"maPaaralan"
114672	"Polo Elementary School"	""		""	"0-1"	"maPaaralan"
114910	"Polo Elementary School"	""		""	"0-1"	"maPaaralan"
114673	"Polocate Elementary School"	""		""	"0-1"	"maPaaralan"
117411	"Polopangyan Elementary School"	""		""	"1"	"maPaaralan"
116259	"Polopiña Elementary School"	""		""	"1"	"maPaaralan"
115719	"Pondol Elementary School"	""		""	"1"	"maPaaralan"
116308	"Ponong Grande Elementary School"	""		""	"1"	"maPaaralan"
116309	"Ponong Pequeño Elementary School"	""		""	"1"	"maPaaralan"
115702	"Pontevedra Elementary School"	""		""	"1"	"maPaaralan"
117316	"Pontevedra North Elementary School"	""		""	"1"	"maPaaralan"
117304	"Pontevedra South Elementary School"	""		""	"1"	"maPaaralan"
180012	"Pontoc Primary School"	""		""	"1"	"maPaaralan"
114753	"Pook Elementary School"	""		""	"0-1"	"maPaaralan"
116872	"Porferio S. Porillo, Sr. Elementary School"	""	"Inapugan Elementary School"	""	"1"	"maPaaralan"
116764	"Poscolon Elementary School"	""		""	"1"	"maPaaralan"
116281	"Potolan Elementary School"	""		""	"1"	"maPaaralan"
116657	"Pototan Pilot Elementary School"	""		""	"1"	"maPaaralan"
117661	"President Manuel Roxas Memorial School – North"	""		""	"1"	"maPaaralan"
117662	"President Manuel Roxas Memorial School – South"	""		""	"1"	"maPaaralan"
117850	"President Osmeña Elementary School"	""		""	"1"	"maPaaralan"
115720	"President Roxas East Elementary School"	""		""	"1"	"maPaaralan"
115721	"President Roxas West Elementary School"	""		""	"1"	"maPaaralan"
183501	"President Manuel A. Roxas Memorial School & Special Education Center"	""		""	"1"	"maPaaralan"
115703	"Professor Antonio Viterbo Elementary School"	""		""	"1"	"maPaaralan"
115934	"Progreso Elementary School"	""		""	"1"	"maPaaralan"
116877	"Progreso Elementary School"	""		""	"1"	"maPaaralan"
117567	"Progreso Elementary School"	""		""	"0-1"	"maPaaralan"
117763	"Prosperidad Elementary School"	""		""	"1"	"maPaaralan"
117914	"Prospero Palomo Elementary School"	""	"Agtambo-Sarapan Elementary School"	""	"0-1"	"maPaaralan"
178007	"Prudencio T. Yerro Elementary School"	""	"Prudencio T. Yerro Primary School"	""	"0-1"	"maPaaralan"
115096	"Pu-ao Elementary School"	""		""	"0-1"	"maPaaralan"
116891	"Pucatod Elementary School"	""		""	"1"	"maPaaralan"
115134	"Pucio Elementary School"	""		""	"0-1"	"maPaaralan"
115935	"Puente Bunglas Elementary School"	""		""	"1"	"maPaaralan"
116074	"Puerto Princesa Primary School"	""		""	"1"	"maPaaralan"
116131	"Puga Elementary School"	""		""	"1"	"maPaaralan"
116465	"Pughanan Elementary School"	""		""	"1"	"maPaaralan"
114911	"Puis Elementary School"	""		""	"0-1"	"maPaaralan"
116328	"Pulao Elementary School"	""		""	"1"	"maPaaralan"
117323	"Pulupandan East Elementary School"	""		""	"1"	"maPaaralan"
117324	"Pulupandan Elementary School"	""		""	"1"	"maPaaralan"
116151	"Pungtod Elementary School"	""		""	"1"	"maPaaralan"
116573	"Pungtod-Caitib Elementary School"	""		""	"1"	"maPaaralan"
117764	"Punod Elementary School"	""		""	"1"	"maPaaralan"
116555	"Punong Elementary School"	""		""	"1"	"maPaaralan"
115936	"Punta Buri Elementary School"	""		""	"1"	"maPaaralan"
117663	"Punta Cogon Elementary School"	""		""	"1"	"maPaaralan"
116224	"Punta Elementary School"	""	"Punta Primary School"	""	"1"	"maPaaralan"
117252	"Punta Mesa Elementary School"	""		""	"1"	"maPaaralan"
117253	"Punta Salong Elementary School"	""		""	"1"	"maPaaralan"
116260	"Punting Primary School"	""		""	"1"	"maPaaralan"
115512	"Purificacion A. Alagban Elementary School"	""		""	"1"	"maPaaralan"
116785	"Purificacion S. Gustilo Memorial Elementary School"	""	"Cabura Elementary School"	""	"1"	"maPaaralan"
116310	"Purog Elementary School"	""		""	"1"	"maPaaralan"
114924	"Pusiw Elementary School"	""	"Pusiw Primary School"	""	"0-1"	"maPaaralan"
117226	"Puso Elementary School"	""		""	"1"	"maPaaralan"
115426	"Putian Elementary School"	""		""	"1"	"maPaaralan"
117049	"Puting Bato Elementary School"	""		""	"0-1"	"maPaaralan"
115571	"Quevedo Elementary School"	""	"Ngalan Elementary School"	""	"1"	"maPaaralan"
117171	"Quezon Elementary School"	""		""	"1"	"maPaaralan"
117783	"Quezon Elementary School"	""		""	"1"	"maPaaralan"
115384	"Quezon Primary School"	""		""	"0-1"	"maPaaralan"
115203	"Quezon Primary School"	""		""	"0-1"	"maPaaralan"
115722	"Quiajo Elementary School"	""		""	"1"	"maPaaralan"
116021	"Quiasan Elementary School"	""		""	"1"	"maPaaralan"
116556	"Quiling Elementary School"	""		""	"1"	"maPaaralan"
115572	"Quinabonglan Elementary School"	""		""	"1"	"maPaaralan"
117909	"Quinagaringan Elementary School"	""		""	"0-1"	"maPaaralan"
116114	"Quinangyana Elementary School"	""		""	"1"	"maPaaralan"
116115	"Quinar-upan Elementary School"	""		""	"1"	"maPaaralan"
114640	"Quinasay-an Primary School"	""		""	"0-1"	"maPaaralan"
115966	"Quinaspan Elementary School"	""		""	"1"	"maPaaralan"
115573	"Quinat-uyan Elementary School"	""		""	"1"	"maPaaralan"
115446	"Quinayuya Elementary School"	""	"Quinayuya Primary School"	""	"1"	"maPaaralan"
117272	"Quintin Remo Elementary School"	""		""	"1"	"maPaaralan"
182502	"Quintin Salas Elementary School"	""		""	"1"	"maPaaralan"
115660	"Quios Primary School"	""		""	"1"	"maPaaralan"
178003	"Quirico T. Tabanera Elementary School"	""	"Calimbajan Primary School"	""	"0-1"	"maPaaralan"
117158	"Quirino Primary School"	""		""	"1"	"maPaaralan"
117135	"Quiwi Elementary School"	""		""	"1"	"maPaaralan"
117526	"R & S Abindan Elementary School"	""		""	"1"	"maPaaralan"
115491	"R. Advincula, Sr. Memorial School"	""	"Traciano Elementary School"	""	"1"	"maPaaralan"
117467	"R. Alunan Elementary School"	""		""	"0-1"	"maPaaralan"
116978	"R. Garcia Primary School"	""		""	"1"	"maPaaralan"
117527	"R.M. Araneta Elementary School"	""		""	"1"	"maPaaralan"
115607	"Ramon A. Villareal Memorial School"	""	"Palje Elementary School"	""	"1"	"maPaaralan"
115249	"Ramon Magsaysay Elementary School"	""		""	"0-1"	"maPaaralan"
117753	"Ramon Magsaysay Elementary School"	""		""	"1"	"maPaaralan"
116075	"Raul O.Y. Causing Memorial Elementary School"	""	"Barotac Viejo Central Elementary School"	""	"1"	"maPaaralan"
115872	"Ravina Elementary School"	""		""	"1"	"maPaaralan"
117704	"Raymundo Tupas Elementary School"	""		""	"1"	"maPaaralan"
117711	"Raynor D. Mesa Elementary School"	""	"Candiis Elementary School"	""	"1"	"maPaaralan"
117305	"Recreo Elementary School"	""		""	"1"	"maPaaralan"
114740	"Regador Elementary School"	""	"Regador Primary School"	""	"0-1"	"maPaaralan"
115624	"Ricardo Bernas Elementary School"	""	"Calitan Elementary School"	""	"1"	"maPaaralan"
117722	"Ricardo Gamboa Elementary School"	""	"Ricky Elementary School"	""	"1"	"maPaaralan"
117034	"Rita Lovino Elementary School"	""		""	"1"	"maPaaralan"
114741	"Rivera Primary School"	""		""	"0-1"	"maPaaralan"
114797	"Rivera Primary School"	""		""	"0-1"	"maPaaralan"
117208	"Riverside Primary School"	""		""	"1"	"maPaaralan"
117590	"Rizal Elementary School"	""		""	"1"	"maPaaralan"
114742	"Rizal Elementary School"	""	"Rizal Primary School"	""	"0-1"	"maPaaralan"
115704	"Rizal Elementary School"	""		""	"1"	"maPaaralan"
116671	"Rizal Elementary School"	""		""	"1"	"maPaaralan"
117479	"Rizal Elementary School"	""		""	"0-1"	"maPaaralan"
117064	"Rizal Elementary School"	""		""	"0-1"	"maPaaralan"
117755	"Rizal Elementary School"	""		""	"1"	"maPaaralan"
179005	"Rizal Norte Primary School"	""		""	"1"	"maPaaralan"
114891	"Rizal Primary School"	""		""	"0-1"	"maPaaralan"
115270	"Rizal Primary School"	""		""	"1"	"maPaaralan"
116076	"Rizal Primary School"	""		""	"1"	"maPaaralan"
115831	"Rizal Primary School"	""		""	"1"	"maPaaralan"
115788	"Rizal Sur Primary School"	""		""	"1"	"maPaaralan"
117637	"Roberto Salas Benedicto Elementary School"	""	"Consuelo Elementary School"	""	"1"	"maPaaralan"
116739	"Roma Elementary School"	""		""	"1"	"maPaaralan"
117443	"Romana Elementary School"	""		""	"1"	"maPaaralan"
114979	"Rombang Elementary School"	""		""	"1"	"maPaaralan"
116311	"Romblon Elementary School"	""		""	"1"	"maPaaralan"
115789	"Roosevelt Elementary School"	""		""	"1"	"maPaaralan"
114798	"Rosal Elementary School"	""		""	"0-1"	"maPaaralan"
114870	"Rosario Elementary School"	""		""	"0-1"	"maPaaralan"
116344	"Rosario Elementary School"	""		""	"1"	"maPaaralan"
117240	"Rosario Elementary School"	""		""	"1"	"maPaaralan"
115228	"Rosario J. Moscoso Memorial School"	""		""	"0-1"	"maPaaralan"
115814	"Roxas Elementary School"	""		""	"1"	"maPaaralan"
117664	"Rufina Andrada Santos Memorial School"	""	"Capricho Elementary School"	""	"1"	"maPaaralan"
116034	"Rufino A. Cabangal Memorial Elementary School"	""		""	"1"	"maPaaralan"
116934	"Rufino Castellano Elementary School"	""		""	"1"	"maPaaralan"
117739	"Rufino T. Halipa Sr Elementary School"	""		""	"1"	"maPaaralan"
116712	"Rumagayray Primary School"	""		""	"1"	"maPaaralan"
117196	"Rumirang Elementary School"	""		""	"1"	"maPaaralan"
180527	"SAARBA Elementary School"	""		""	"1"	"maPaaralan"
114996	"Sabang East Elementary School"	""		""	"0-1"	"maPaaralan"
115888	"Sabang Elementary School"	""		""	"1"	"maPaaralan"
115016	"Sabang I Elementary School"	""	"Paaralang Buhay ng Sabang I"	""	"0-1"	"maPaaralan"
115017	"Sabang II Elementary School"	""	"Paaralang Buhay ng Sabang II"	""	"0-1"	"maPaaralan"
117227	"Sag-ang Elementary School"	""		""	"1"	"maPaaralan"
117518	"Sagasa Elementary School"	""		""	"1"	"maPaaralan"
180028	"Sagcup Primary School"	""		""	"1"	"maPaaralan"
117891	"Sagumayon Primary School"	""		""	"1"	"maPaaralan"
117083	"Saisi Elementary School"	""		""	"1"	"maPaaralan"
